WKT,of_Students,Owner_Name,Facility_Identifier,State_Name,Last_Editor,Facility_Area,Feature_Code,Full_Address,Name_of_Facility,Last_Update_Date,Capture_Method,Owner_Type,Municipality_Name,Location_Type,Description,Shape_X,Shape_Y
"POINT (-10669760.8728018 4322273.99600936)",,,,OK,CBALSIGER,,School: Elementary,202 S 117th E Ave,Kerr Elementary,2016/04/22 18:53:11,Placed on Map,,Tulsa,Building,Public School,-10669760.8728,4322273.99601
"POINT (-10671437.626408 4315797.0175001)",,,,OK,CBALSIGER,,School: Elementary,3656 E 103rd E Ave,Roy Clark Elementary,2016/04/22 19:05:11,Placed on Map,,Tulsa,Building,Public School,-10671437.6264,4315797.0175
"POINT (-10681584.6154854 4323346.32336877)",,,,OK,CBALSIGER,,School: Elementary,724 N Birmingham Ave,Sequoyah Elementary,2016/04/22 19:05:56,Placed on Map,,Tulsa,Building,Public School,-10681584.6155,4323346.32337
"POINT (-10686197.2779223 4329101.5153665)",,,,OK,SDE,,School: Elementary,"1 W 36th St N, Suite 3",Drexel Academy,2016/08/19 14:09:43,Placed on Map,,Tulsa,Building,Public School,-10686197.2779,4329101.51537
"POINT (-10684687.685237 4305359.12865847)",,,,OK,CBALSIGER,,School: High School,801 E 91st St,Tulsa Technology Center - Riverside Campus,2016/04/22 19:13:27,Placed on Map,,Tulsa,Building,,-10684687.6852,4305359.12866
"POINT (-10679244.536323 4321795.07829156)",,,,OK,CBALSIGER,,School: High School,3909 E 5th Pl,Rogers College Junior/High,2016/04/22 19:16:40,Placed on Map,,Tulsa,Building,Public School,-10679244.5363,4321795.07829
"POINT (-10688332.5048198 4315225.91285585)",,,,OK,CBALSIGER,,School: High School,1919 W 40th St,Webster Middle/High School,2016/04/22 19:15:37,Placed on Map,,Tulsa,Building,Public School,-10688332.5048,4315225.91286
"POINT (-10677160.6490482 4311488.77675749)",,,,OK,CBALSIGER,,School: High School,5840 S Hudson Ave,Memorial High School,2016/04/22 18:58:44,Placed on Map,,Tulsa,Building,Public School,-10677160.649,4311488.77676
"POINT (-10674342.8488411 4316076.50824447)",,,,OK,CBALSIGER,,School: High School,3420 S Memorial Dr,Tulsa Technology Center - Lemley Campus,2016/04/22 19:13:38,Placed on Map,,Tulsa,Building,,-10674342.8488,4316076.50824
"POINT (-10683419.774424 4326534.83794688)",,,,OK,cbalsiger,,School: High School,1514 E Zion St,Washington High School,2016/01/28 00:00:00,Placed on Map,,Tulsa,Building,Public School,-10683419.7744,4326534.83795
"POINT (-10684156.2366011 4329629.78980363)",,,,OK,CBALSIGER,,School: High School,3850 N Peoria Ave,Tulsa Technology Center - Peoria Campus,2016/04/22 19:13:33,Placed on Map,,Tulsa,Building,,-10684156.2366,4329629.7898
"POINT (-10680762.7912157 4314853.21394716)",,,,OK,CBALSIGER,,School: High School,2906 E 41st St,Edison Preparatory,2016/04/22 18:47:53,Placed on Map,,Tulsa,Building,Public School,-10680762.7912,4314853.21395
"POINT (-10676662.5502938 4315397.56384808)",,,,OK,cbalsiger,,School: High School,3905 S Hudson Ave,Bishop Kelley,2016/02/04 00:00:00,Placed on Map,,Tulsa,Building,Private School,-10676662.5503,4315397.56385
"POINT (-10675255.877593 4318861.74517324)",,,,OK,CBALSIGER,,School: High School,6960 E 21st St,Nathan Hale High School,2016/04/22 19:00:54,Placed on Map,,Tulsa,Building,Public School,-10675255.8776,4318861.74517
"POINT (-10668946.2487581 4320850.81822466)",,,,OK,CBALSIGER,,School: High School,12150 E 11th St,East Central High School,2016/04/22 18:46:35,Placed on Map,,Tulsa,Building,Public School,-10668946.2488,4320850.81822
"POINT (-10672284.2575212 4309752.32681702)",,,,OK,Kate Borland,,School: High School,6636 S Mingo Rd,Union High School,2010/06/10 00:00:00,Placed on Map,,Tulsa,Building,Public School,-10672284.2575,4309752.32682
"POINT (-10688621.312851 4314936.88441637)",,,,OK,Kate Borland,,School: Elementary School,2224 W 41st St,Clinton West,2010/06/10 00:00:00,Placed on Map,,Tulsa,Building,Public School,-10688621.3129,4314936.88442
"POINT (-10675446.9692703 4318592.80692551)",,,,OK,Kate Borland,,School: Middle School,2177 S 67th E Ave,Hale Junior High,2010/06/10 00:00:00,Placed on Map,,Tulsa,Building,Public School,-10675446.9693,4318592.80693
"POINT (-10685036.2096019 4324773.65149904)",,,,OK,cbalsiger,,School: Middle School,624 E Oklahoma Pl,Carver Middle School,2016/02/04 00:00:00,Placed on Map,,Tulsa,Building,Public School,-10685036.2096,4324773.6515
"POINT (-10683094.3915116 4326093.23013573)",,,,OK,CBALSIGER,,School,1661 E Virgin St,KIPP Tulsa College Preparatory,2016/04/22 18:53:52,Placed on Map,,Tulsa,Building,Public School,-10683094.3915,4326093.23014
"POINT (-10685340.0455934 4331077.43483382)",,,,OK,CBALSIGER,,School: Middle School,525 E 46th St N,McClain Junior High/Seventh Grade Academy,2016/04/22 18:57:23,Placed on Map,,Tulsa,Building,Public School,-10685340.0456,4331077.43483
"POINT (-10682643.7319363 4331422.9192085)",,,,OK,CBALSIGER,,School: Middle School,2010 E 48th St N,Monroe Demonstration Academy,2016/04/22 19:00:14,Placed on Map,,Tulsa,Building,Public School,-10682643.7319,4331422.91921
"POINT (-10668982.2617374 4319091.9557803)",,,,OK,CBALSIGER,,School: Middle School,12121 E 21st St,East Central Junior High,2016/04/22 18:46:59,Placed on Map,,Tulsa,Building,Public School,-10668982.2617,4319091.95578
"POINT (-10674687.7585078 4308829.283645)",,,,OK,CBALSIGER,,School: Middle School,7370 E 71st St,Thoreau Demonstration Academy,2016/04/22 19:07:48,Placed on Map,,Tulsa,Building,Public School,-10674687.7585,4308829.28365
"POINT (-10671399.6041503 4317874.14667601)",,,,OK,,,School: Elementary,2525 S 103rd E Ave,College Bound Academy,,Placed on Map,,Tulsa,Building,Public School,-10671399.6042,4317874.14668
"POINT (-10679842.245901 4323145.86436296)",,,,OK,,,School,3441 E Archer St,Phoenix Rising,,Placed on Map,,Tulsa,Building,Public School,-10679842.2459,4323145.86436
"POINT (-10671492.7788956 4317903.36718761)",,,,OK,,,School,2525 S 101st E ave,Tulsa Honor Academy,,Placed on Map,,Tulsa,Building,Public School,-10671492.7789,4317903.36719
"POINT (-10686076.4735823 4334499.6080718)",,,,OK,,,School,105 E 63rd St N,Tulsa Legacy Charter: Primary Academy,,Placed on Map,,Tulsa,Building,Public School,-10686076.4736,4334499.60807
"POINT (-10683833.5102643 4333777.34636744)",,,,OK,,,School,6001 N Peoria Ave,Tulsa Legacy Charter: Upper Academy,,Placed on Map,,Tulsa,Building,Public School,-10683833.5103,4333777.34637
"POINT (-10677804.3921387 4314869.53984291)",,,,OK,,,School,4107 S Yale Ave,Tulsa Learning Academy,,Placed on Map,,Tulsa,Building,Public School,-10677804.3921,4314869.53984
"POINT (-10675132.9193767 4309843.87987863)",,,,OK,,,School: Elementary,6646 S 73rd E Ave,Grissom Elementary,,Placed on Map,,Tulsa,Building,Public School,-10675132.9194,4309843.87988
"POINT (-10676153.422676 4317263.33221016)",,,,OK,,,School,6310 E 30th St,Augustine Christian Academy,,Placed on Map,,Tulsa,Building,"Private School, K-12th",-10676153.4227,4317263.33221
"POINT (-10672963.774381 4315868.14955837)",,,,OK,,,School,3702 S 90th E Ave,Christian Montessori Academy,,Placed on Map,,Tulsa,Building,"Private School, Pre-8th",-10672963.7744,4315868.14956
"POINT (-10685562.417778 4320934.04070353)",,,,OK,,,School,820 S Boulder Ave,Holy Family Cathedral School,,Placed on Map,,Tulsa,Building,"Private School, Pre-8th",-10685562.4178,4320934.0407
"POINT (-10667821.983084 4323817.84794677)",,,,OK,,,School,1003 N 129th E Ave,Lincoln Christian School,,Placed on Map,,Tulsa,Building,"Private School, Pre-12th",-10667821.9831,4323817.84795
